board,concentration_numeric,duration_s,n_points,s1_phys_baseline_mean,s1_phys_derivative_max,s1_phys_derivative_mean,s1_phys_derivative_min,s1_phys_derivative_std,s1_phys_minimum_response,s1_phys_normalized_response,s1_phys_recovery_slope,s1_phys_response_magnitude,s1_phys_rs_r0_final,s1_phys_rs_r0_min,s1_raw_early_mean,s1_raw_final,s1_raw_late_mean,s1_raw_max,s1_raw_mean,s1_raw_median,s1_raw_min,s1_raw_q10,s1_raw_q90,s1_raw_std,s2_phys_baseline_mean,s2_phys_derivative_max,s2_phys_derivative_mean,s2_phys_derivative_min,s2_phys_derivative_std,s2_phys_minimum_response,s2_phys_normalized_response,s2_phys_recovery_slope,s2_phys_response_magnitude,s2_phys_rs_r0_final,s2_phys_rs_r0_min,s2_raw_early_mean,s2_raw_final,s2_raw_late_mean,s2_raw_max,s2_raw_mean,s2_raw_median,PC1,PC2
B1,10,599.99,59972.5,39.03971100836495,12.500000000011482,-0.00037945204656934464,-12.499999999982947,2.357410338181036,28.445,0.2630800622555949,-0.0012064971294213,10.486836972828808,1.0028436044595765,0.7369199377444051,39.03971100836495,39.43000000000001,39.59022776493626,40.43,37.64539812600783,39.39,28.445,30.005,39.665,3.6195627597175113,19.22917996079269,4.500000000004206,6.221863467975343e-05,-5.249999999999716,1.1204551230453264,16.085,0.15705143395635096,5.3676744900450004e-05,3.0814335722620445,1.005484189068759,0.8429485660436491,19.22917996079269,19.39,19.419643296612563,19.53,18.82669349031284,19.335,-0.4158882813022482,-6.262316255583487
B1,20,599.99,59891.5,39.349080084430824,12.500000000099362,0.00069763916744725,-13.250000000012164,2.3060890929631457,24.71,0.3718434200237185,0.0003692474853739,14.639080084430823,1.007075218890011,0.6281565799762814,39.349080084430824,39.51,39.49944276253197,40.150000000000006,36.64535963812862,39.28,24.71,24.965,39.59,5.356909918937348,19.168378264090173,5.000000000003922,-7.764371183010773e-05,-4.750000000000966,1.1111910164680343,14.48,0.2441639007226797,-0.00023932399006350001,4.68837826409017,1.008263700137543,0.7558360992773203,19.168378264090173,19.32,19.338580596200522,19.509999999999998,18.3823110113737,19.205,-0.990127173830271,-3.7593110986644014
B1,30,599.99,59880.5,37.85758087294559,12.249999999904617,0.0006187326089640999,-14.249999999944066,2.333048145506961,21.61,0.4170407554719174,0.0012980368607704,15.572580872945583,1.018933793474276,0.5829592445280826,37.85758087294559,39.665000000000006,39.667208645615574,40.475,36.22824164731981,39.465,21.61,21.835,39.78,6.535280134861567,18.61082826392489,4.750000000011369,5.3752981755162256e-05,-5.000000000007496,1.0950449162041398,13.190000000000001,0.2812450765487762,0.00056462821280325,5.190828263924889,1.0155993920537798,0.7187549234512238,18.61082826392489,19.375,19.359613513915598,19.485,18.20045526176586,19.28,-1.5205002473262947,-2.320243806148777
B1,40,599.99,59884.0,39.081374220693064,12.750000000006708,-0.00019088372076652175,-12.750000000028649,2.27932213421194,19.314999999999998,0.5117780408468112,0.00026020945317945,20.016374220693066,1.003408397464423,0.48822195915318883,39.081374220693064,39.32,39.407618591602386,39.945,35.403331012490646,39.05,19.314999999999998,19.54,39.435,7.339152537737888,19.21253753737579,5.000000000004434,0.0001584861290675695,-4.500000000006878,1.0857373704450572,12.105,0.3688226548049941,-0.0002471316995362,7.107537537375789,1.0028646170180124,0.6311773451950059,19.21253753737579,19.34,19.373417761257567,19.475,17.9749164358751,19.245,-1.859317355942223,-0.5575645453730226
B1,50,599.99,59931.0,39.218668492196215,12.700000000020836,-0.0003018077747468043,-12.500000000005116,2.259246391316669,17.47,0.5553167262457115,0.0014085541047577999,21.818668492196213,0.9989471929156404,0.4446832737542885,39.218668492196215,39.24,39.27293663500125,39.945,35.079731950049876,39.04,17.47,17.63,39.39,7.960875671960373,19.282219113712372,5.2500000000048885,-0.0002847474803765,-4.750000000004263,1.0798107568859163,11.280000000000001,0.41273129196487357,0.00126659883124995,8.002219113712375,0.9962300449144764,0.5872687080351263,19.282219113712372,19.215,19.276514505685142,19.455,17.805004175969433,19.225,-2.221778088432215,0.5250039073413353
B1,60,599.99,59978.0,38.46514823735839,12.499999999990223,-0.0006501061700176001,-14.833333333347099,2.300738268277971,16.255000000000003,0.5796259455315307,0.0002519571572012,22.305148237358395,1.0100511972092092,0.4203740544684693,38.46514823735839,39.51,39.50398799959658,39.94,34.99379477194694,39.269999999999996,16.255000000000003,16.465,39.585,8.498552743605082,19.08437525683604,5.250000000004093,3.226335641308364e-05,-4.75000000000756,1.0787150119513496,10.649999999999999,0.4397662068861748,0.0003165741098430466,8.43437525683604,1.0061975722170895,0.5602337931138252,19.08437525683604,19.39,19.3731246887415,19.485,17.74903897901114,19.305,-2.206498856817231,1.3065905013797412
B1,70,599.99,59812.5,38.808677314376055,11.750000000010914,0.00012083333333705,-22.50000000001387,2.307698271624182,15.375,0.6125674977548619,0.00025466841067935,23.783677314376057,1.0108541657380847,0.38743250224513814,38.808677314376055,39.504999999999995,39.448948955130355,39.745000000000005,34.70437409471357,39.155,15.375,15.594999999999999,39.510000000000005,8.847226575475792,19.19078186340969,5.000000000017224,-4.166666630300007e-06,-7.000000000004775,1.0647069599797856,10.045,0.4756725415082528,0.000650707422698309,9.145781863409688,1.0060000925298422,0.5243274584917472,19.19078186340969,19.39,19.340227556185752,19.47,17.589945140162882,19.225,-2.104849318016704,2.225638229502563
B1,80,599.99,59816.5,39.17185289684291,11.75000000002717,-0.00015337462718325,-12.00000000002808,2.282460397718067,14.305,0.6383920729276673,0.00076729699181325,25.016852896842906,1.0059223573246763,0.3616079270723327,39.17185289684291,39.585,39.526806271085476,39.86,34.55113942142842,39.31,14.305,14.475000000000001,39.585,9.25679027686656,19.28203936468188,4.750000000004263,4.7869184473395556e-05,-6.000000000005336,1.0678690610124981,9.545,0.5039631266180671,0.0005393012054666999,9.737039364681879,1.00209379281078,0.4960368733819328,19.28203936468188,19.425,19.38359539363615,19.525,17.508300467837294,19.28,-2.3775444327767854,2.738179452408456
B1,90,599.99,59639.0,38.73657463553603,13.166666666676065,0.00325136652299555,-16.750000000007844,2.295282789527622,13.535,0.6471358590225245,0.00015213219532662816,25.266574635536035,1.0261353618926932,0.3528641409774755,38.73657463553603,39.745000000000005,39.735883037589666,40.065,34.86067290833046,39.39,13.535,13.655,39.785,9.256756302873601,19.113541388146167,5.711111111113656,0.0024224584663144503,-7.5000000000063665,1.0855964893490158,9.120000000000001,0.5170041055000714,6.0033096501300006e-05,9.99354138814617,1.016591962838654,0.4829958944999285,19.113541388146167,19.43,19.40669146487643,19.54,17.5633478673689,19.29,-2.0370903956607966,3.370155488078678
B1,100,599.99,59943.0,39.07361470356087,12.000000000011028,0.0003578341010671,-12.000000000027399,2.2944442034779344,12.93,0.6741967951287,0.0007344782481363999,26.358614703560868,1.0102282099052178,0.3258032048713,39.07361470356087,39.475,39.48235018407346,39.875,34.17902246218033,39.2,12.93,13.085,39.555,9.80210505526825,19.226026368645243,4.625000000002174,-0.00011244354295161099,-4.75000000000432,1.062588924399568,8.719999999999999,0.5456199879705576,0.000204085126242848,10.506026368645244,1.0047218228553678,0.45438001202944245,19.226026368645243,19.32,19.32979899743927,19.490000000000002,17.29268367726032,19.215,-2.6764847537508736,3.6547992944705747
B2,10,599.99,59934.0,41.60370793994347,13.250000000011937,-0.000323588372112636,-15.000000000009322,2.380649518661715,30.44,0.247406528226742,0.00020004777921435002,10.859412882937384,0.9959228041155558,0.752593471773258,41.60370793994347,41.980000000000004,41.76451938347783,42.425,39.818621217700894,41.555,30.44,32.255,41.815,3.453059124388555,24.191022035735358,6.0000000000027285,-0.00012145214380750763,-5.749999999991019,1.1605559786963278,19.095,0.19823600058436708,-0.00028081458898905,5.0600290701764585,0.9975036682289391,0.8017639994156328,24.191022035735358,24.46,24.29333369397566,24.634999999999998,23.380758404315163,24.16,5.1932600319642725,-6.1514325169044115
B2,20,599.99,59980.5,42.04529895202857,14.500000000025238,-0.00046268845637869997,-13.25000000001205,2.3768675377119393,26.335,0.33511111418363865,0.00060188320190775,14.603800105105103,1.002857267540397,0.6648888858163613,42.04529895202857,42.16,42.016800088623256,42.655,39.12706307185335,41.9,26.335,26.53,42.245000000000005,5.393360927735362,24.13881900159289,5.750000000003638,-0.00016143179495045,-7.250000000003183,1.1699574193120346,16.755,0.2732850773601404,0.001039532311016,6.9529025175175185,1.0098095107194254,0.7267149226398595,24.13881900159289,24.325,24.231942363402418,24.494999999999997,22.817280929634798,24.08,4.864816499023723,-3.462538486520265
